customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0162-OEWBX,2021-12-11,Referral,2022-12-11,Standard,Monthly,2022-04-23,Lack of features,7.99,662,87,1,Ishaan,India,Telangana,Male,1971-09-04,,,,0
0163-WMKBR,2022-07-07,Referral,2023-07-07,Basic,Monthly,,,6.99,470,54,0,Lohit,India,Haryana,Male,1981-06-16,2025-02-01,N,14.0,1
0164-QKMUF,2023-01-19,Paid,2024-01-19,Basic,Annual,,,9.99,171,59,0,Chatura,India,Gujarat,Male,1985-09-30,2025-10-05,N,24.0,1
0165-ZSKVW,2022-04-08,Paid,2023-04-08,Premium,Annual,,,24.99,2160,52,0,Amol,India,Maharashtra,Male,1971-09-10,,,,0
0166-HRXTR,2022-02-07,Paid,2023-02-07,Standard,Annual,,,15.99,1335,10,0,Anmol,India,Assam,Male,1991-03-19,,,,0
0167-MOGYC,2025-01-23,Organic,2026-01-23,Standard,Annual,,,12.99,1786,19,0,Gopal,India,Nagaland,Male,1983-12-04,,,,0
0168-UIUZY,2021-01-28,Referral,2022-01-28,Basic,Monthly,,,7.99,412,10,0,Wriddhish,India,Karnataka,Male,1996-10-18,,,,0
0169-QSSAZ,2024-12-14,Organic,2025-12-14,Premium,Monthly,2026-02-07,Poor customer support,9.99,625,93,1,Nicholas,India,Bihar,Male,2005-03-12,2025-04-05,Y,48.0,1
0170-LAWZG,2023-12-16,Paid,2024-12-15,Standard,Monthly,2025-03-10,No longer required,6.99,630,76,1,Vasudha,India,Assam,Female,1996-09-18,2025-03-28,Y,35.0,1
0171-HYBBP,2021-07-02,Paid,2022-07-02,Standard,Monthly,2021-12-31,No longer required,9.99,612,95,1,Gauri,India,Jharkhand,Female,1984-03-09,,,,0
0172-CZUVF,2021-01-17,Organic,2022-01-17,Standard,Annual,,,15.99,1647,6,0,Harish,India,Telangana,Male,1977-09-22,,,,0
0173-VECMK,2024-08-21,Referral,2025-08-21,Standard,Annual,,,13.99,1358,58,0,Jyoti,India,Uttar Pradesh,Female,1999-03-07,,,,0
0174-GOIXT,2020-09-17,Paid,2021-09-17,Basic,Monthly,2022-03-10,No longer required,8.99,236,89,1,Max,India,West Bengal,Male,1985-12-21,,,,0
0175-RFSZG,2023-02-19,Paid,2024-02-19,Standard,Monthly,,,13.99,1445,44,0,Bina,India,Gujarat,Female,1992-04-03,2025-09-13,N,100.0,1
0176-CWZZP,2024-01-26,Paid,2025-01-25,Standard,Monthly,,,12.99,1385,37,0,Falan,India,Bihar,Male,1992-03-23,,,,0
0177-DYXCT,2024-02-28,Referral,2025-02-27,Basic,Monthly,,,7.99,491,40,0,Rajeshri,India,Delhi,Female,1985-11-15,2023-11-17,N,95.0,1
0178-MRFKH,2022-04-24,Organic,2023-04-24,Premium,Annual,,,29.99,2328,49,0,Bachittar,India,Odisha,Male,1971-09-28,,,,0
0179-ASDNQ,2022-02-21,Organic,2023-02-21,Standard,Annual,,,14.99,961,68,0,Max,India,Jharkhand,Male,1976-12-17,2024-12-02,N,79.0,1
0180-YCWCX,2025-01-07,Paid,2026-01-07,Basic,Monthly,2026-03-22,Lack of features,9.99,670,81,1,Ekansh,India,Assam,Male,2000-07-07,2025-05-04,Y,72.0,1
0181-JKJMQ,2022-06-09,Organic,2023-06-09,Standard,Monthly,2024-03-12,No longer required,7.99,308,99,1,Anvi,India,Odisha,Female,1997-10-22,,,,0
0182-WNJFW,2020-07-20,Paid,2021-07-20,Premium,Monthly,2021-04-05,Lack of features,8.99,284,97,1,Zashil,India,Haryana,Male,1977-01-22,,,,0
0183-HVALG,2024-12-02,Referral,2025-12-02,Basic,Annual,,,8.99,393,58,0,Yashoda,India,West Bengal,Female,1988-09-23,2026-07-01,N,72.0,1
0184-TNMOL,2022-09-17,Organic,2023-09-17,Basic,Annual,,,7.99,466,25,0,Wriddhish,India,Kerala,Male,1974-08-05,2024-09-27,N,65.0,1
0185-EIJOD,2020-09-30,Organic,2021-09-30,Standard,Annual,,,15.99,1645,54,0,Harshil,India,Jharkhand,Male,1976-07-21,,,,0
0186-TGTYL,2022-09-15,Paid,2023-09-15,Premium,Annual,,,22.99,2366,48,0,Zayyan,India,Assam,Male,1992-04-09,,,,0
0187-WYEIB,2024-02-16,Paid,2025-02-15,Standard,Annual,,,12.99,1756,35,0,Pooja,India,Rajasthan,Female,2001-07-12,2024-08-02,N,100.0,1
0188-DNYTZ,2023-08-30,Organic,2024-08-29,Standard,Monthly,,,13.99,1595,45,0,Hemal,India,Odisha,Female,1992-01-01,2024-02-17,N,66.0,1
0189-ESUFF,2024-10-29,Paid,2025-10-29,Premium,Annual,,,29.99,2018,11,0,Chanchal,India,Haryana,Female,1978-06-27,2026-05-13,N,14.0,1
0190-XQSDQ,2021-02-05,Organic,2022-02-05,Standard,Annual,,,12.99,1352,19,0,Maanas,India,Odisha,Male,1990-11-03,2025-03-13,N,23.0,1
0191-WWLXH,2022-08-09,Paid,2023-08-09,Basic,Monthly,,,8.99,633,58,0,Girindra,India,Assam,Male,1996-05-08,2025-11-02,N,43.0,1
0192-RSKDL,2022-03-21,Organic,2023-03-21,Standard,Monthly,,,12.99,738,68,0,Unnati,India,Uttar Pradesh,Female,1975-03-06,,,,0
0193-TMOIO,2023-04-05,Paid,2024-04-04,Standard,Monthly,,,14.99,1186,59,0,Anusha,India,West Bengal,Female,1994-06-14,2026-07-05,N,99.0,1
0194-RLCDH,2024-10-01,Referral,2025-10-01,Basic,Monthly,2025-10-24,Lack of features,9.99,698,79,1,Nathaniel,India,Haryana,Male,1972-09-15,2025-03-22,Y,50.0,1
0195-JBDFT,2023-03-13,Paid,2024-03-12,Basic,Monthly,,,8.99,396,68,0,Unni,India,Haryana,Female,1989-01-31,2024-08-15,N,51.0,1
0196-DZQGT,2024-11-10,Organic,2025-11-10,Premium,Annual,,,19.99,3954,3,0,Udant,India,Assam,Male,1979-08-03,,,,0
0197-QZVSW,2024-09-08,Organic,2025-09-08,Standard,Annual,,,15.99,789,3,0,Kai,India,Madhya Pradesh,Male,2006-09-04,,,,0
0198-UECXT,2023-06-10,Referral,2024-06-09,Basic,Monthly,2024-08-13,Switched to competitor,12.99,1406,93,1,Libni,India,Bihar,Female,1997-10-16,2023-12-24,Y,20.0,1
0199-VYDYC,2022-05-16,Referral,2023-05-16,Basic,Annual,,,8.99,329,62,0,Avni,India,Nagaland,Female,1999-10-15,,,,0
0200-NIYHG,2023-09-15,Organic,2024-09-14,Basic,Annual,2024-01-27,Switched to competitor,13.99,829,81,1,Henry,India,Tamil Nadu,Male,1986-07-26,,,,0
0201-QYUXO,2022-12-03,Organic,2023-12-03,Premium,Annual,,,24.99,3070,33,0,Darpan,India,Punjab,Male,1976-06-27,2026-06-12,N,76.0,1
0202-WVMDT,2022-07-06,Organic,2023-07-06,Basic,Monthly,,,7.99,442,43,0,Ekaraj,India,Maharashtra,Male,1983-06-04,2025-11-09,N,55.0,1
0203-VTBBG,2024-06-13,Referral,2025-06-13,Basic,Annual,,,8.99,597,50,0,Christopher,India,Telangana,Male,1983-04-20,2025-06-09,N,52.0,1
0204-BRRCE,2024-11-14,Paid,2025-11-14,Basic,Monthly,,,7.99,658,35,0,Vasana,India,Jharkhand,Female,1976-07-09,,,,0
0205-UXBLL,2021-03-15,Organic,2022-03-15,Premium,Annual,,,29.99,2123,38,0,Krishna,India,Karnataka,Female,1998-10-10,2025-05-02,N,21.0,1
0206-LQVWR,2023-05-01,Paid,2024-04-30,Basic,Monthly,,,6.99,485,55,0,Advik,India,Gujarat,Male,1985-04-15,2024-04-15,N,62.0,1
0207-EOPLN,2022-02-28,Referral,2023-02-28,Basic,Monthly,,,9.99,509,56,0,Jasmit,India,Tamil Nadu,Female,1987-06-30,,,,0
0208-PZIHZ,2020-08-01,Paid,2021-08-01,Standard,Monthly,2021-04-11,Too expensive,6.99,226,98,1,Eiravati,India,Haryana,Female,1976-04-07,2026-02-25,Y,99.0,1
0209-XAZFL,2021-07-06,Paid,2022-07-06,Basic,Monthly,,,9.99,185,47,0,Abha,India,Maharashtra,Female,2001-02-18,,,,0
0210-ECFCN,2021-10-31,Organic,2022-10-31,Standard,Annual,,,12.99,1014,10,0,Neha,India,Jharkhand,Female,1974-12-19,,,,0
0211-TAUIP,2023-12-14,Paid,2024-12-13,Standard,Monthly,,,14.99,1515,4,0,Madhavi,India,Madhya Pradesh,Female,1998-12-08,,,,0
0212-ERSDY,2022-01-08,Referral,2023-01-08,Premium,Annual,,,29.99,3920,34,0,Ranbir,India,Haryana,Male,1982-12-03,,,,0
0213-SZSNS,2021-09-24,Organic,2022-09-24,Premium,Annual,,,22.99,2969,18,0,Urishilla,India,Maharashtra,Female,2000-01-16,2026-06-16,N,14.0,1
0214-JNPVS,2020-07-17,Paid,2021-07-17,Standard,Annual,2021-09-07,Poor customer support,29.99,2507,96,1,Samar,India,Kerala,Male,1998-01-25,2025-07-04,Y,97.0,1
0215-DSJGU,2023-03-01,Referral,2024-02-29,Premium,Annual,,,24.99,3028,23,0,Gunbir,India,Uttar Pradesh,Male,1968-12-10,,,,0
0216-FODSL,2024-07-12,Organic,2025-07-12,Premium,Annual,,,22.99,2297,64,0,Hemani,India,Maharashtra,Female,1977-12-10,2025-11-13,N,35.0,1
0217-AMWSL,2024-11-30,Referral,2025-11-30,Basic,Annual,,,8.99,628,12,0,Gaurangi,India,Uttar Pradesh,Female,1985-02-26,,,,0
0218-RWQVI,2022-10-19,Organic,2023-10-19,Basic,Monthly,,,9.99,640,10,0,Farhan,India,Telangana,Male,1967-09-17,,,,0
0219-ZAGYV,2021-11-07,Referral,2022-11-07,Standard,Monthly,2023-08-23,No longer required,8.99,225,99,1,Harsh,India,Punjab,Male,1969-11-19,,,,0
0220-TLPXL,2022-03-27,Organic,2023-03-27,Basic,Monthly,,,7.99,593,67,0,Oliver,India,Nagaland,Male,1984-09-17,,,,0
0221-RPAMB,2022-06-29,Referral,2023-06-29,Basic,Monthly,2023-07-14,Too expensive,7.99,315,91,1,Gayathri,India,Assam,Female,1984-04-24,,,,0
0222-KQERE,2022-01-30,Referral,2023-01-30,Premium,Monthly,2022-10-19,No longer required,8.99,278,95,1,Maanas,India,Maharashtra,Male,1985-09-28,,,,0
0223-GAETB,2022-10-26,Referral,2023-10-26,Premium,Annual,,,22.99,2501,6,0,Oviya,India,Bihar,Female,1977-11-11,,,,0
0224-YQAOO,2022-11-27,Referral,2023-11-27,Premium,Monthly,,,19.99,2132,27,0,Radhika,India,Gujarat,Female,1974-09-06,,,,0
0225-KPGLZ,2021-01-06,Referral,2022-01-06,Premium,Annual,,,29.99,1924,39,0,Yuvraj,India,Karnataka,Male,1971-08-10,,,,0
0226-RMSLT,2024-01-01,Referral,2024-12-31,Basic,Monthly,2025-08-08,Lack of features,15.99,1309,88,1,Kevin,India,Telangana,Male,1987-06-17,2026-03-04,Y,39.0,1
0227-VXINR,2022-08-28,Paid,2023-08-28,Basic,Annual,,,7.99,470,45,0,Ekavir,India,Kerala,Male,2006-11-01,2025-03-10,N,29.0,1
0228-JDSNF,2023-01-11,Paid,2024-01-11,Premium,Annual,,,22.99,3317,16,0,Christopher,India,Assam,Male,1989-11-05,2025-12-11,N,75.0,1
0229-XNZCT,2020-09-18,Paid,2021-09-18,Basic,Monthly,2022-02-18,Switched to competitor,7.99,294,94,1,Anthony,India,Punjab,Male,1993-01-08,2024-03-29,Y,69.0,1
0230-OVKKF,2024-05-29,Referral,2025-05-29,Premium,Annual,,,22.99,3141,21,0,Meera,India,Punjab,Female,1980-01-14,,,,0
0231-HBXEK,2024-05-20,Referral,2025-05-20,Standard,Annual,2026-01-17,Lack of features,15.99,1721,87,1,Luke,India,Odisha,Male,1967-01-29,,,,0
0232-UFSCL,2021-03-10,Paid,2022-03-10,Premium,Monthly,,,22.99,3245,61,0,Nachiket,India,Madhya Pradesh,Male,1976-10-04,2024-02-10,N,40.0,1
0233-DVDJU,2022-02-08,Organic,2023-02-08,Basic,Monthly,,,6.99,260,52,0,Ansh,India,Assam,Male,1991-06-03,2026-05-14,N,10.0,1
0234-HPRUY,2023-08-26,Paid,2024-08-25,Standard,Annual,,,15.99,804,10,0,Vedhika,India,Telangana,Female,1987-05-22,2026-06-24,N,47.0,1
0235-WJUVO,2025-02-08,Referral,2026-02-08,Standard,Annual,,,15.99,1272,17,0,Tanveer,India,Madhya Pradesh,Male,1985-10-03,,,,0
0236-MIPAR,2023-11-13,Paid,2024-11-12,Premium,Annual,,,29.99,3328,19,0,Saumya,India,Bihar,Female,1968-09-02,2024-11-14,N,98.0,1
0237-OOOKL,2025-01-08,Paid,2026-01-08,Basic,Monthly,,,9.99,662,61,0,Yashasvi,India,Kerala,Female,1971-05-14,2026-01-08,N,53.0,1
0238-EIRCM,2021-07-28,Organic,2022-07-28,Standard,Monthly,,,13.99,1755,51,0,Devansh,India,Madhya Pradesh,Male,1997-08-30,2025-03-14,N,96.0,1
0239-WTDUS,2025-03-16,Referral,2026-03-16,Premium,Annual,,,24.99,3177,39,0,Liam,India,Gujarat,Male,1975-05-14,,,,0
0240-XIGRK,2024-02-21,Paid,2025-02-20,Standard,Monthly,,,12.99,1454,40,0,Aadi,India,Jharkhand,Male,1980-07-11,2025-09-11,N,38.0,1
0241-RLRFQ,2021-09-21,Referral,2022-09-21,Premium,Annual,,,19.99,3743,30,0,Kashvi,India,Rajasthan,Female,1989-03-25,,,,0
0242-TLWVI,2021-11-15,Referral,2022-11-15,Premium,Annual,,,29.99,2498,49,0,William,India,Odisha,Male,1987-08-20,,,,0
0243-BFSMV,2022-03-21,Referral,2023-03-21,Premium,Monthly,2023-05-06,Lack of features,7.99,182,89,1,Bhavna,India,Gujarat,Female,1993-09-25,2025-08-05,Y,27.0,1
0244-HCGDJ,2022-11-10,Referral,2023-11-10,Basic,Monthly,2023-04-12,Switched to competitor,7.99,570,98,1,Saanvi,India,Gujarat,Female,1984-04-15,,,,0
0245-TXQLI,2022-02-19,Paid,2023-02-19,Basic,Annual,2023-05-05,No longer required,14.99,1679,92,1,Sarthak,India,Uttar Pradesh,Male,2005-04-03,,,,0
0246-ZSUYH,2020-08-22,Paid,2021-08-22,Standard,Monthly,,,14.99,1691,29,0,Indali,India,Kerala,Female,1971-09-22,2026-02-06,N,39.0,1
0247-BOQDS,2024-01-25,Referral,2025-01-24,Premium,Annual,,,24.99,2983,62,0,Chakradev,India,Haryana,Male,1981-01-26,,,,0
0248-XNMRI,2020-11-11,Referral,2021-11-11,Basic,Monthly,2022-01-28,Switched to competitor,8.99,444,87,1,Baljiwan,India,Telangana,Male,2003-02-01,,,,0
0249-GQBME,2020-07-27,Paid,2021-07-27,Premium,Monthly,2021-06-01,Switched to competitor,8.99,230,90,1,Umang,India,Tamil Nadu,Male,1983-04-10,,,,0
0250-EYXCA,2024-08-09,Referral,2025-08-09,Premium,Monthly,,,24.99,2912,32,0,Krish,India,Delhi,Male,1992-02-23,2023-12-03,N,95.0,1
0251-AHIRB,2022-10-21,Paid,2023-10-21,Basic,Monthly,,,7.99,388,13,0,Jyoti,India,Delhi,Female,1995-06-09,,,,0
0252-HPCCA,2023-06-21,Organic,2024-06-20,Standard,Annual,2025-01-18,Lack of features,13.99,710,95,1,Yug,India,Gujarat,Male,1980-10-30,2025-07-31,Y,60.0,1
0253-LIKYC,2023-09-12,Paid,2024-09-11,Standard,Monthly,,,14.99,1357,30,0,Keya,India,Maharashtra,Female,1967-05-16,,,,0
0254-JBUCN,2024-03-27,Organic,2025-03-27,Standard,Monthly,,,12.99,1058,5,0,Lavanya,India,Bihar,Female,2005-10-10,2025-01-07,N,78.0,1
0255-HHGOK,2021-05-27,Referral,2022-05-27,Premium,Monthly,,,29.99,3829,38,0,Chameli,India,Rajasthan,Female,2005-08-30,,,,0
0256-WSHOP,2023-03-08,Paid,2024-03-07,Premium,Annual,,,19.99,3022,37,0,Lipika,India,Telangana,Female,1997-11-08,2024-07-16,N,33.0,1
0257-CLTWB,2022-03-15,Referral,2023-03-15,Premium,Annual,2023-05-17,Switched to competitor,15.99,974,78,1,Samaksh,India,West Bengal,Male,1971-01-04,,,,0
0258-CSFTG,2023-05-11,Paid,2024-05-10,Premium,Monthly,,,24.99,2562,25,0,Sanya,India,Delhi,Female,1970-12-14,2025-05-02,N,81.0,1
0259-VMFEM,2021-05-08,Paid,2022-05-08,Basic,Monthly,,,9.99,587,24,0,Vritti,India,Jharkhand,Female,1998-01-04,2025-12-20,N,16.0,1
0260-MANWQ,2020-07-13,Paid,2021-07-13,Premium,Annual,,,29.99,3125,58,0,Nathaniel,India,Punjab,Male,1973-02-13,2023-12-19,N,86.0,1
0261-FWPMW,2021-12-30,Referral,2022-12-30,Premium,Annual,,,24.99,3036,47,0,Aradhana,India,Haryana,Female,1996-01-17,2025-12-01,N,71.0,1
0262-NEOPC,2024-03-27,Paid,2025-03-27,Standard,Monthly,,,12.99,942,40,0,Teerth,India,Uttar Pradesh,Male,1972-04-25,,,,0
0263-BFRCO,2024-08-16,Paid,2025-08-16,Basic,Annual,2026-02-22,No longer required,14.99,1452,79,1,Damini,India,Rajasthan,Female,2008-06-20,2024-05-03,Y,89.0,1
0264-TFZWI,2021-05-14,Organic,2022-05-14,Standard,Annual,,,15.99,1800,11,0,Ekaraj,India,Gujarat,Male,1979-05-04,,,,0
0265-OLNZI,2024-03-15,Paid,2025-03-15,Standard,Annual,,,14.99,859,65,0,Owen,India,Punjab,Male,2005-10-16,,,,0
0266-CWJNJ,2024-04-15,Referral,2025-04-15,Standard,Monthly,2026-03-03,Lack of features,7.99,318,81,1,Bakhshi,India,Karnataka,Male,1989-09-14,2024-10-12,Y,55.0,1
0267-JITRH,2024-08-26,Referral,2025-08-26,Basic,Monthly,2026-06-19,Lack of features,9.99,206,76,1,Vasana,India,Delhi,Female,2004-05-22,,,,0
0268-NPZVV,2025-02-19,Organic,2026-02-19,Standard,Monthly,,,14.99,744,10,0,Xalak,India,Bihar,Female,1971-09-04,,,,0
0269-UVVZD,2025-03-20,Paid,2026-03-20,Basic,Monthly,,,8.99,215,61,0,Anusha,India,Tamil Nadu,Female,2005-09-25,2025-03-12,N,97.0,1
0270-UVSMT,2021-02-22,Organic,2022-02-22,Basic,Monthly,,,9.99,334,54,0,Harini,India,Nagaland,Female,2005-01-17,2026-03-02,N,68.0,1
0271-ZFHEE,2021-10-25,Organic,2022-10-25,Standard,Annual,,,15.99,1618,18,0,Damyanti,India,Rajasthan,Female,2002-07-05,,,,0
0272-HEPHZ,2024-01-07,Referral,2025-01-06,Standard,Monthly,,,14.99,942,29,0,Faraj,India,Assam,Male,1973-02-28,,,,0
0273-VZEQD,2021-05-05,Referral,2022-05-05,Premium,Annual,,,19.99,3022,49,0,Ladli,India,Uttar Pradesh,Female,1980-10-10,,,,0
0274-BPZKG,2022-04-21,Paid,2023-04-21,Premium,Annual,,,22.99,3686,15,0,Sai,India,Telangana,Male,2005-09-19,,,,0
0275-OJCYI,2022-01-12,Paid,2023-01-12,Basic,Monthly,2022-05-31,Switched to competitor,9.99,166,89,1,Balveer,India,Uttar Pradesh,Male,1982-05-11,,,,0
0276-DDPUP,2021-08-07,Paid,2022-08-07,Premium,Annual,,,29.99,3597,8,0,Jai,India,Haryana,Male,1972-02-10,,,,0
0277-JYCCR,2024-02-11,Referral,2025-02-10,Basic,Annual,2025-04-04,Switched to competitor,8.99,389,94,1,Jatin,India,Uttar Pradesh,Male,2006-10-15,,,,0
0278-FQTSZ,2021-02-27,Paid,2022-02-27,Basic,Monthly,2021-11-23,Lack of features,7.99,683,93,1,Avi,India,Odisha,Male,1977-09-16,,,,0
0279-RBYMX,2021-12-27,Referral,2022-12-27,Standard,Annual,,,12.99,1405,41,0,Upkaar,India,West Bengal,Male,1999-11-03,2026-06-17,N,40.0,1
0280-CEMXF,2023-11-21,Paid,2024-11-20,Standard,Monthly,,,15.99,1005,31,0,Ranveer,India,Punjab,Male,1971-11-05,2025-11-02,N,57.0,1
0281-EKZGZ,2022-09-21,Organic,2023-09-21,Premium,Annual,,,24.99,2391,54,0,Frado,India,Madhya Pradesh,Male,1999-11-23,,,,0
0282-XUERP,2022-11-21,Paid,2023-11-21,Standard,Monthly,,,13.99,1495,58,0,William,India,Punjab,Male,1973-08-04,2026-01-17,N,46.0,1
0283-QIOIZ,2022-03-27,Paid,2023-03-27,Premium,Annual,,,19.99,3993,6,0,Dipta,India,Delhi,Female,1985-09-07,,,,0
0284-YNJOT,2024-01-28,Organic,2025-01-27,Premium,Annual,,,22.99,2688,2,0,Gaurang,India,Gujarat,Male,1977-04-16,2025-10-31,N,28.0,1
0285-HYKUJ,2021-01-29,Organic,2022-01-29,Basic,Monthly,,,7.99,270,27,0,Urmi,India,Gujarat,Female,1996-07-17,,,,0
0286-IGFXB,2022-02-17,Paid,2023-02-17,Standard,Annual,,,13.99,1358,46,0,Isha,India,Madhya Pradesh,Female,1973-11-01,,,,0
0287-TVYGZ,2022-05-19,Referral,2023-05-19,Basic,Annual,,,8.99,675,61,0,Abdul,India,Karnataka,Male,1974-02-18,,,,0
0288-AXTHW,2023-05-03,Paid,2024-05-02,Premium,Annual,,,24.99,2632,29,0,Eshana,India,Bihar,Female,2003-06-14,,,,0
0289-EGHGL,2021-06-09,Referral,2022-06-09,Premium,Annual,,,19.99,2868,38,0,Pratyush,India,Punjab,Male,1995-12-04,,,,0
0290-QSXCN,2022-06-14,Organic,2023-06-14,Basic,Monthly,2023-08-23,Poor customer support,8.99,385,95,1,Aryan,India,Karnataka,Male,2008-05-21,,,,0
0291-PNARY,2022-03-07,Referral,2023-03-07,Premium,Annual,,,29.99,3809,18,0,Caleb,India,Haryana,Male,2002-02-14,,,,0
0292-PAGGS,2022-12-01,Referral,2023-12-01,Premium,Annual,,,29.99,2553,8,0,Wakeeta,India,Kerala,Female,1966-09-20,,,,0
0293-WMMFK,2020-07-19,Paid,2021-07-19,Standard,Annual,,,12.99,799,30,0,Fariq,India,Bihar,Male,1968-11-13,,,,0
0294-SEAYU,2020-11-14,Referral,2021-11-14,Basic,Monthly,2022-06-21,Lack of features,7.99,159,95,1,Chatura,India,Jharkhand,Male,1997-04-19,,,,0
0295-HFBAW,2023-02-01,Referral,2024-02-01,Standard,Monthly,2023-05-19,No longer required,9.99,162,84,1,Megha,India,Tamil Nadu,Female,2000-07-02,,,,0
0296-ZOIWP,2022-10-04,Paid,2023-10-04,Premium,Monthly,,,29.99,2534,25,0,Tanay,India,Bihar,Male,1972-11-16,,,,0
0297-OHTFB,2023-02-06,Paid,2024-02-06,Standard,Monthly,,,14.99,1425,52,0,Ira,India,West Bengal,Female,2002-04-17,2026-03-10,N,53.0,1
0298-LOCEL,2022-05-14,Organic,2023-05-14,Basic,Monthly,2022-09-13,Too expensive,13.99,1162,95,1,Falan,India,Tamil Nadu,Male,1980-03-22,,,,0
0299-BACDM,2020-11-22,Paid,2021-11-22,Premium,Monthly,2022-05-10,Poor customer support,15.99,1674,90,1,Keya,India,West Bengal,Female,1977-04-16,2024-08-28,Y,24.0,1
0300-DWHHG,2022-01-07,Paid,2023-01-07,Standard,Annual,,,12.99,1781,61,0,Ekaja,India,West Bengal,Female,1978-01-04,2025-12-18,N,53.0,1
0301-CEBZS,2022-02-08,Referral,2023-02-08,Standard,Annual,2022-05-25,Switched to competitor,6.99,437,85,1,Banjeet,India,Bihar,Male,1970-09-12,,,,0
0302-JEPMH,2023-12-16,Referral,2024-12-15,Standard,Monthly,,,15.99,857,50,0,Kritika,India,Punjab,Female,1994-08-06,2026-04-01,N,54.0,1
0303-WRSXW,2021-03-02,Paid,2022-03-02,Standard,Annual,,,14.99,1486,11,0,Advik,India,Telangana,Male,1966-08-28,,,,0
0304-YTRUW,2022-04-09,Paid,2023-04-09,Standard,Monthly,2024-03-08,Lack of features,14.99,809,94,1,Gunbir,India,Punjab,Male,1976-07-09,2026-04-04,Y,70.0,1
0305-RXDGT,2023-11-30,Organic,2024-11-29,Premium,Annual,,,24.99,1921,30,0,Bina,India,Rajasthan,Female,1973-01-08,,,,0
0306-EEFUZ,2021-09-16,Referral,2022-09-16,Standard,Monthly,,,15.99,1584,38,0,Dakshesh,India,Odisha,Male,2004-11-17,,,,0
0307-URGNA,2020-11-18,Paid,2021-11-18,Premium,Annual,,,19.99,2136,20,0,Rachita,India,Tamil Nadu,Female,1981-07-13,,,,0
0308-CUZOX,2021-06-29,Paid,2022-06-29,Premium,Monthly,,,24.99,3277,47,0,Samar,India,Karnataka,Male,1982-11-15,,,,0
0309-ODWBW,2023-09-19,Paid,2024-09-18,Premium,Monthly,,,19.99,2342,66,0,Raghav,India,Punjab,Male,1981-08-01,2025-07-16,N,30.0,1
0310-LWIAO,2024-12-06,Paid,2025-12-06,Standard,Monthly,,,12.99,883,42,0,Dakshesh,India,Karnataka,Male,2003-09-01,2025-10-31,N,69.0,1
0311-MPYVA,2025-04-03,Organic,2026-04-03,Premium,Annual,,,19.99,2995,32,0,Keya,India,Tamil Nadu,Female,2004-11-18,,,,0
0312-XDPUT,2023-02-08,Paid,2024-02-08,Standard,Monthly,,,13.99,1479,19,0,Radhika,India,Haryana,Female,1981-12-22,2025-04-12,N,51.0,1
0313-QGOQD,2025-03-06,Referral,2026-03-06,Basic,Monthly,2026-02-11,Lack of features,9.99,432,83,1,Ati,India,Uttar Pradesh,Female,1984-03-16,,,,0
0314-BRKWE,2022-08-21,Paid,2023-08-21,Standard,Monthly,,,13.99,1637,43,0,Wridesh,India,Tamil Nadu,Male,2004-11-13,,,,0
0315-HWTTY,2021-05-26,Paid,2022-05-26,Premium,Annual,,,29.99,3149,18,0,Odika,India,Uttar Pradesh,Female,1966-11-21,,,,0
0316-HPYIH,2022-04-07,Organic,2023-04-07,Basic,Monthly,,,7.99,640,38,0,Kai,India,Uttar Pradesh,Male,1968-06-01,2026-02-05,N,98.0,1
0317-MVPTZ,2023-02-27,Paid,2024-02-27,Premium,Annual,,,29.99,2792,47,0,Geetika,India,Bihar,Female,2002-06-25,,,,0
0318-FEYOP,2021-12-29,Referral,2022-12-29,Basic,Monthly,,,7.99,334,60,0,Netra,India,Karnataka,Female,1983-04-04,,,,0
0319-YJSEW,2023-10-19,Organic,2024-10-18,Basic,Annual,2025-03-10,Lack of features,22.99,3595,100,1,Faras,India,West Bengal,Male,1999-11-28,,,,0
0320-CSPMQ,2025-01-06,Paid,2026-01-06,Standard,Monthly,2025-06-20,Lack of features,8.99,397,87,1,Saksham,India,Bihar,Male,1996-11-28,,,,0
0321-AYCKW,2023-01-06,Organic,2024-01-06,Premium,Annual,,,29.99,3441,54,0,Kiaan,India,Kerala,Male,1981-05-31,2025-04-17,N,36.0,1
0322-ZILNY,2021-07-27,Organic,2022-07-27,Basic,Annual,2022-10-23,Switched to competitor,14.99,1799,82,1,Harish,India,Gujarat,Male,1995-10-07,2026-01-08,Y,88.0,1
0323-FKROM,2022-02-15,Paid,2023-02-15,Standard,Annual,,,12.99,1518,14,0,Leela,India,Karnataka,Female,2006-02-09,2024-05-25,N,25.0,1
0324-DXCSU,2024-01-16,Referral,2025-01-15,Basic,Monthly,2024-11-27,Lack of features,8.99,377,93,1,Charita,India,Haryana,Female,1982-07-07,,,,0
0325-HRUMZ,2020-12-06,Organic,2021-12-06,Standard,Monthly,,,15.99,1724,38,0,Vedant,India,Maharashtra,Male,2004-10-16,,,,0
0326-VECKW,2023-04-15,Referral,2024-04-14,Standard,Annual,,,12.99,937,44,0,Watika,India,West Bengal,Female,1974-03-28,2026-02-13,N,94.0,1
